time,Obs,Mean,F1-Mean,F2-Mean,F2-3DVAR-Mean,sfe11d,sfe12d,sfe13d,sfe31d,sfe32d,sfe33d,sfe41d,sfe42d,sfe43d,N1K1hi,N1K2hi,N2K1hi,N2K2hi,N3K1hi,N3K2hi,N1K1,N1K2,N2K1,N2K2,N3K1,N3K2,N1K1hiV,N1K2hiV,N2K1hiV,N2K2hiV,N3K1hiV,N3K2hiV,N1K1V,N1K2V,N2K1V,N2K2V,N3K1V,N3K2V
1986-08-15,-0.2204999999999977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-09-15,-0.12959999999999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-10-15,-0.09270000000000067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-11-15,0.06900000000000261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986-12-15,0.02780000000000271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-01-15,-0.03870000000000218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-02-15,-0.12640000000000384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-03-15,-0.21889999999999787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-04-15,-0.28829999999999956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-05-15,0.22700000000000387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-06-15,-0.14050000000000296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-07-15,-0.23740000000000094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-08-15,0.15670000000000073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-09-15,0.45309999999999917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-10-15,0.19519999999999627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-11-15,0.07179999999999964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-12-15,0.07189999999999941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-01-15,0.04889999999999972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-02-15,0.111899999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-03-15,-0.20919999999999916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-04-15,0.06869999999999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-05-15,-0.49019999999999797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-06-15,-0.27580000000000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-07-15,0.06010000000000204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-08-15,0.12930000000000064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-09-15,0.03270000000000195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-10-15,-0.21130000000000138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-11-15,-0.34639999999999915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988-12-15,0.20580000000000354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-01-15,-0.2942999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-02-15,0.2761999999999958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-03-15,-0.0945999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-04-15,-0.14149999999999707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-05-15,-0.2704999999999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-06-15,-0.4515000000000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-07-15,-0.2024000000000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-08-15,-0.6329999999999991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-09-15,-0.40360000000000085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-10-15,-0.30590000000000117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-11-15,-0.35749999999999815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989-12-15,-0.0627999999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-01-15,0.4549000000000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-02-15,0.09719999999999374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-03-15,0.056100000000000705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-04-15,-0.17559999999999576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-05-15,-0.403299999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-06-15,-0.4568000000000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-07-15,-0.11680000000000135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-08-15,-0.2906000000000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-09-15,-0.6067000000000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-10-15,-0.6237999999999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-11-15,-0.3025999999999982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990-12-15,-0.1490000000000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-01-15,0.026900000000001256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-02-15,0.05269999999999797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-03-15,-0.16580000000000084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-04-15,0.6608000000000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-05-15,0.7634000000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-06-15,0.3329999999999984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-07-15,0.17760000000000176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-08-15,0.204699999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-09-15,0.5503999999999962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-10-15,0.6031000000000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-11-15,0.3923999999999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-15,0.4247000000000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-01-15,-0.16840000000000188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-02-15,-0.6343000000000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-03-15,-0.8179000000000016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-04-15,-0.6561999999999983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-05-15,-0.21979999999999933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-06-15,-0.5311000000000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-07-15,-0.2068000000000012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-08-15,-0.627799999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-09-15,-1.035300000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-10-15,-0.7405000000000008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-11-15,-0.15169999999999817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-15,0.04210000000000136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-01-15,0.04150000000000276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-02-15,0.244099999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-03-15,-0.3201999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-04-15,-0.05339999999999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-05-15,0.28300000000000125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-06-15,0.095799999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-07-15,0.18470000000000297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-08-15,-0.1751999999999967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-09-15,-0.5782000000000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-10-15,-0.2873000000000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
